ID,Label,Gloss
B1,a,seruan perasaan kurang sabar dan juga perasaan menghina; ah.
B2,aba,seruan: ah! oh! pangabaabaon: lekas berkembang dan tumbuh dan lekas pula layu;contoh eme: sering berubah-ubah pikirannya mengenai orang
B3,abad,abad
B4,abak,pangabahan: hal mengenai berhasilnya; menjadinya.
B5,abal,abalan: tempat; tabung untuk menyimpan segala sesuatu; tempat bertemu beramai-ramai; contoh huta
B6,abal;abal â€“ abal,peti mati orang tua berumur panjang
B7,abal-abal,tabung bambu
B8,abalan ni partigatiga,tempat para pedagang saling bertemu;abalabal: tabung kecil dari bambu untuk menyimpan segala sesuatu;mangabalabalhon: memasukkan sesuatu ke dalam tabung seperti itu.
B9,abang,pangabang: nama tempat dalam sopo batak; yang terletak disebelah kanan dan kiri jalan masuk.
B10,abangabang,sejenis pohon kayu
B11,abap,abu halus; yang tinggal sesudah kayu bakar habis terbakar
B12,abar,mengembara; contoh: di dalam hutan untuk mengambil kapur barus; begu abar = begu na masa; hantu yang menyebabkan epidemi.
B13,abara,bahu; pundak; mangabara: memaafkan (=mangampini); sebenarnya: membawa di atas pundak; pangabaraan: 1. (bagian) kayu pikulan 2. buah pisang yang paling atas pada tandan dan yang terbesar
B14,abara (pundak),parsitangkingan
B15,abas,mangabas: mengibas; melambai; mangabashon: mengibas; melambaikan contoh dengan ekor atau ulos; mate uluna; mangabasi ihurna: kepalanya sudah mati; ekornya masih mengibas-ngibas (seperti dengan ular); dikatakan tentang suatu perkara; yang sebenarnya sudah diselesaikan; tetapi akibatnya masih terasa
B16,abat,(= sabat): halangan; aral; rintangan; adong abathu: saya berhalangan; ada halanganku; mangabati: menghalangi; menghambat; pangabati: segala sesuatu yang menghalangi; penghalangi; penghambat.
B17,abe,mabeabe: bertiup kesana kesini