ID,Label,Part-of-Speech,Glossary
K1,-an,Bentuk terikat (bt),"hasil tindakan: yang biasa dikenai tindakan; yang di-: tempat; lokasi: alat untuk mengukur atau menghitung: hal atau cara: kumpulan; gugusan: yang mempunyai atau mengandung: yang menyerupai: sesuatu yang mempunyai sifat: intensitas: melakukan sesuatu yang pelaku atau tindakannya banyak (saling): kegiatan yang berkenaan dengan pelaku atau tindakan yang banyak"
K2,-anda,Bentuk terikat (bt),"menyatakan hormat atau kekeluargaan"
K3,-asi,Bentuk terikat (bt),"-isasi"
K4,-da,Bentuk terikat (bt),"-anda"
K5,-el-,Bentuk terikat (bt),"yang melakukan: alat: benda yang kelopak: kumpulan: terjadi, berlaku, atau melakukan"
K6,-em-,Bentuk terikat (bt),"kumpulan (banyak, aneka): berulang-ulang atau terus-menerus"
K7,-er-,Bentuk terikat (bt),"alat: yang memiliki, mengandung, atau bersifat: berulang (terus-menerus): mengandung (bersifat)"
K8,-i,Bentuk terikat (bt),"berkenaan dengan; berdasar pada: memberikan: berulang-ulang: di; pada"
K9,-iah,Bentuk terikat (bt),"-i"
K10,-if,Bentuk terikat (bt),"bersifat melakukan atau menunjukkan mutu kegiatan"
K11,-is,Bentuk terikat (bt),"berkaitan dengan: orang yang bergerak atau ahli dalam (insani)"
K12,-isasi,Bentuk terikat (bt),"proses, cara, perbuatan"
K13,-isme,Bentuk terikat (bt),"sistem kepercayaan berdasarkan politik, sosial, atau ekonomi"
K14,-itas,Bentuk terikat (bt),"kualitas; keadaan; tingkat"
K15,-kah,Bentuk terikat (bt),"yang digunakan untuk mengukuhkan pertanyaan: (dalam ragam standar) digunakan untuk memperhalus pertanyaan dan ditambahkan pada kata tanya apa, mana, bagaimana, berapa, di mana, mengapa, siapa"
K16,-kan,Bentuk terikat (bt),"menjadikan: sungguh-sungguh: untuk; kepada orang lain"
K17,-lah,Bentuk terikat (bt),"yang digunakan untuk menekankan makna kata yang di depannya"